"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"453.l.82957.t.1","Bad Hab-Its","True","Drew","2","2","7","1","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/00aa18e0c130a6097379e2dd83c5cfccfd8b427a78dba6f21afeae8919c97d20.png"
"453.l.82957.t.2","San Jose Barra-Cuties","False","Cameron","5","5","5","3","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/9c872750d5a80b17d63ab3a6af8c63860ddd9972b3ef4c350706c6636faf3bab.jpg"
"453.l.82957.t.3","Hockey???","False","Phillip","8","8","3","5","0","https://s.yimg.com/ep/cx/blendr/v2/image-slap-shot-png_1721256412735.png"
"453.l.82957.t.4","Bad habits","False","Evan","1","1","7","1","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/8c1d2a9280569d550946a993bddb2ac01607553ab58b252a0e6b22fe72945540.jpg"
"453.l.82957.t.5","Micah's Majestic Team","False","Micah","11","11","1","7","0","https://s.yimg.com/ep/cx/blendr/v2/image-hockey-player-emoji-png_1721256348578.png"
"453.l.82957.t.6","Cameron with the good fur","False","Layla","9","9","2","6","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/d97394ffdaddd0f8b53c096c9fd206541c2ff03769928c15580809a760046329.jpg"
"453.l.82957.t.7","Fighting Forsbergs","False","Scott","3","3","6","2","0","https://s.yimg.com/ep/cx/blendr/v2/image-zamboni-png_1721256433917.png"
"453.l.82957.t.8","Los Luchadores del Hielo","False","Eduardo","10","10","2","6","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/1a84c14a657d86bb240edd25602f1868cfe61520e22934fe363df9cdc1c04c48.png"
"453.l.82957.t.9","Bardowny Woodpeckers","False","Nick","12","12","1","7","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/ac8b13b87d9df96924cff1f5857a8d984b0377c4bcd0ff9222043c0ad3f1c02f.jpg"
"453.l.82957.t.10","Don't Cry I Was Olli Jokinen","False","Trevor","4","4","6","2","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/c2d181f21189b3f05cc2882af8828d0c7c16d701dce3f9a77f651c97e1989eb2.jpg"
"453.l.82957.t.11","Jim Posac Fan Club","False","Jon","6","6","4","4","0","https://s.yimg.com/ep/cx/blendr/v2/image-luchador-png_1721174314847.png"
"453.l.82957.t.12","Woonsocket Woozles","False","mr","7","7","4","4","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/ee04b1c440d434799ca278bcf4f1ec09d805ffba904119d92504ba62056e117c.jpg"
